,id,name,MP,GA,GA90,SoTA,Saves%,CS%,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT%,G/Sh
0,a3b03921,Joe Willock,178,0,0.0,0.0,0.0,0.0,30,14,0,1,10,0,162,21.41851851851852,2.75
1,77e39b04,Francisco Trincao,136,0,0.0,0.0,0.0,0.0,20,12,0,0,6,0,179,28.933333333333334,1.1
2,172e52d8,Pontus Jansson,351,0,0.0,0.0,0.0,0.0,19,4,0,1,66,4,101,7.268,0.38
3,3353737a,Sergio Reguilon,134,0,0.0,0.0,0.0,0.0,5,16,0,0,27,1,98,14.605555555555554,0.34
4,6f7d826d,Douglas Luiz,205,0,0.0,0.0,0.0,0.0,11,12,0,0,47,2,174,28.540000000000003,1.3199999999999998
5,0b33f6ad,Mohammed Salisu,111,0,0.0,0.0,0.0,0.0,2,2,0,0,21,1,54,29.68,0.64
6,3ea50f67,Harvey Barnes,265,0,0.0,0.0,0.0,0.0,69,42,1,1,8,0,480,30.28846153846154,2.4400000000000004
7,17734ea0,Kayky Chagas,44,0,0.0,0.0,0.0,0.0,8,5,0,0,2,0,12,21.116666666666667,0.17
8,d79a8c87,Rob Holding,194,0,0.0,0.0,0.0,0.0,6,3,0,0,28,2,60,18.502857142857142,2.5
9,4468ec10,Demarai Gray,324,0,0.0,0.0,0.0,0.0,37,30,1,2,14,0,337,22.129411764705885,1.25
10,8aec0537,Pascal Gross,386,0,0.0,0.0,0.0,0.0,44,59,8,11,47,1,255,12.831034482758621,1.05
11,3b8674e6,Rodrigo Bentancur,280,0,0.0,0.0,0.0,0.0,9,25,0,0,62,3,163,12.565517241379311,0.8700000000000001
12,1000a059,Stuart McKinstry,61,0,0.0,0.0,0.0,0.0,8,8,0,0,9,0,24,6.659999999999999,0.17
13,f25b010f,Federico Fernandez,289,0,0.0,0.0,0.0,0.0,7,9,0,0,53,3,54,9.541379310344826,0.26
14,254147d4,Moussa Djenepo,140,0,0.0,0.0,0.0,0.0,17,7,0,0,27,2,66,19.5375,1.3
15,ce4246f5,Kurt Zouma,338,0,0.0,0.0,0.0,0.0,19,8,0,0,26,2,121,10.402857142857144,0.8600000000000001
16,83d074ff,Alexis Mac Allister,157,0,0.0,0.0,0.0,0.0,24,16,6,7,19,0,307,35.25,1.03
17,178ae8f8,Diogo Jota,294,0,0.0,0.0,0.0,0.0,98,32,1,1,47,2,485,36.73809523809524,2.8
18,ac05f970,Michail Antonio,462,0,0.0,0.0,0.0,0.0,110,69,1,2,48,3,471,15.694444444444445,1.7500000000000002
19,24f59bb2,Junior Firpo,121,0,0.0,0.0,0.0,0.0,8,12,0,0,33,0,60,15.878947368421052,1.81
20,be927d03,Ashley Young,620,0,0.0,0.0,0.0,0.0,72,98,5,8,107,3,102,7.5760000000000005,1.08
21,24fae784,Connor Roberts,260,0,0.0,0.0,0.0,0.0,14,20,0,0,25,1,136,20.181818181818183,0.65
22,f4e433d4,Tariq Lamptey,105,0,0.0,0.0,0.0,0.0,3,9,0,0,20,2,35,12.866666666666667,0.5
23,da052c14,Jordan Ayew,451,0,0.0,0.0,0.0,0.0,71,34,7,7,59,5,270,15.085714285714285,1.81
24,5eecec3d,John Stones,325,0,0.0,0.0,0.0,0.0,14,4,0,0,11,2,98,19.384615384615383,3.88
25,8d3c902d,Cheikhou Kouyate,518,0,0.0,0.0,0.0,0.0,24,18,0,0,58,6,117,14.608823529411765,1.7700000000000002
26,cee31595,James McArthur,489,0,0.0,0.0,0.0,0.0,37,39,0,2,77,1,134,12.057142857142855,1.1500000000000001
27,6cdd8245,Tom Cleverley,364,0,0.0,0.0,0.0,0.0,33,30,0,1,39,3,109,13.646666666666668,1.49
28,2691c772,Ashley Barnes,465,0,0.0,0.0,0.0,0.0,105,26,15,21,79,6,306,14.087878787878788,1.1700000000000002
29,7fcc71d8,Daniel Podence,189,0,0.0,0.0,0.0,0.0,28,21,0,0,26,1,159,27.211764705882352,1.38
30,19a9cb70,Kaide Gordon,13,0,0.0,0.0,0.0,0.0,5,0,0,1,0,0,7,27.78333333333333,0.33
31,d2424d1b,Ben Chilwell,202,0,0.0,0.0,0.0,0.0,12,19,0,0,18,2,125,24.355999999999998,1.2
32,2b91cf8e,Ciaran Clark,283,0,0.0,0.0,0.0,0.0,20,8,0,0,63,3,48,8.971428571428572,1.3199999999999998
33,f72293fc,Johann Berg Gudmundsson,404,0,0.0,0.0,0.0,0.0,41,53,1,1,27,1,196,15.093548387096776,0.49
34,2f90f6b8,James Milner,759,0,0.0,0.0,0.0,0.0,68,113,21,24,94,3,162,9.45,0.43000000000000005
35,f3354c07,Sam Greenwood,68,0,0.0,0.0,0.0,0.0,22,10,7,8,12,0,27,20.136363636363637,0.09
36,b217ef29,Joel Matip,418,0,0.0,0.0,0.0,0.0,32,14,0,0,48,2,112,10.876923076923077,2.0
37,84c5ceea,Tim Iroegbunam,50,0,0.0,0.0,0.0,0.0,1,1,0,0,19,1,30,4.6000000000000005,0.0
38,527f063d,Edinson Cavani,605,0,0.0,0.0,0.0,0.0,348,61,49,64,77,2,522,18.338461538461537,3.9399999999999995
39,43a166b4,Divock Origi,305,0,0.0,0.0,0.0,0.0,65,20,3,6,10,0,226,30.414285714285715,4.84
40,9328b835,Lukasz Fabianski,411,524,29.04,1781.0,72.50384615384615,39.580769230769235,0,1,0,0,11,1,0,0.0,0.0
41,38ceb24a,Leandro Trossard,287,0,0.0,0.0,0.0,0.0,83,32,6,8,17,1,254,26.983333333333334,0.8300000000000001
42,7a11550b,Joe Gomez,198,0,0.0,0.0,0.0,0.0,1,6,0,0,31,2,29,12.084375,0.0
43,5a4280b1,Kevin Long,165,0,0.0,0.0,0.0,0.0,10,5,0,0,25,4,37,17.978571428571428,2.43
44,3631ad41,Jeremy Ngakia,76,0,0.0,0.0,0.0,0.0,0,2,0,0,5,0,19,19.169999999999998,0.0
45,1265a93a,Reece James,204,0,0.0,0.0,0.0,0.0,17,25,1,1,26,1,180,25.470588235294116,1.28
46,dad4b285,Joel Veltman,313,0,0.0,0.0,0.0,0.0,13,14,0,0,56,9,58,8.055555555555555,0.48000000000000004
47,c1949191,Jarrad Branthwaite,59,0,0.0,0.0,0.0,0.0,3,0,0,0,3,1,15,8.928571428571429,0.5
48,67ca8566,Stuart Dallas,342,0,0.0,0.0,0.0,0.0,38,22,0,0,34,0,212,10.30909090909091,0.4700000000000001
49,f13d02a6,Helder Costa,254,0,0.0,0.0,0.0,0.0,33,35,5,6,18,0,190,32.63478260869565,1.2000000000000002
50,0420d84f,Seamus Coleman,386,0,0.0,0.0,0.0,0.0,24,24,0,0,38,2,73,11.216129032258065,0.48
